"id","wifi","workspace","quiet","all_three","wifi_workspace_only","wifi_only","neighbourhood_cleansed","neighbourhood_group_cleansed","price"
190974,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Park Slope","Brooklyn",130
191610,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Chelsea","Manhattan",120
195123,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Washington Heights","Manhattan",75
195240,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Flatbush","Brooklyn",60
195989,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"Park Slope","Brooklyn",105
197942,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Bedford-Stuyvesant","Brooklyn",177
198028,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Ditmars Steinway","Queens",50
198478,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Upper East Side","Manhattan",85
200645,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Upper East Side","Manhattan",90
200955,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"Stuyvesant Town","Manhattan",125
